index,sample_id,image_path,question,A,B,C,D,answer,specialty,gender,country,question_type,text,prediction,hit,log,split
175,176,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/176.jpg,"A 35-year-old Caucasian woman comes to the Emergency Department (ED) for review. She is concerned about a suspicious mole on her leg and has recently returned from a six-month working holiday in Morrocco. On further questioning, it transpires that she has had extensive sun exposure and has had three moles removed over the past five years. On examination, she is pale-skinned with ginger hair.                                                    The mole on her left calf is shown below:  Which of the following is the most appropriate intervention?",Cryotherapy,Excision biopsy,Loop removal,Punch Biopsy,B,Infectious & Derm,male,Ghana,MCQ,"A 35-year-old Caucasian woman comes to the Emergency Department (ED) for review. She is concerned about a suspicious mole on her leg and has recently returned from a six-month working holiday in Morrocco. On further questioning, it transpires that she has had extensive sun exposure and has had three moles removed over the past five years. On examination, she is pale-skinned with ginger hair.                                                    The mole on her left calf is shown below:  Which of the following is the most appropriate intervention?",B,1,Match Log: B. ,none
184,185,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/185.jpg,"A mother brought is 3 year old female to the outpatient department and complains that her child looks different from other children, a karyotyping was done and the results is shown below, What's the likely diagnosis?",Patau syndrome,Edward syndrome,Down syndrome,Turners syndrome,C,PAEDIATRICS,male,Ghana,MCQ,"A mother brought is 3 year old female to the outpatient department and complains that her child looks different from other children, a karyotyping was done and the results is shown below, What's the likely diagnosis?",C,1,Match Log: C. ,none
185,186,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/186.jpg,What is the name of this condition?,Syndactyly,Clinodactyly,Symbrachydactyly,Polydactyly,D,PAEDIATRICS,male,Ghana,MCQ,What is the name of this condition?,D,1,Match Log: D. ,none
186,187,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/187.jpg,"A 4 year old male presented with difficulty in breathing and cyanosis with digital clubbing, the X ray below was requested,what's the likely diagnosis",Atrial septal defect,Ventricular septal defect,Patent ductus arteriosus,Tetralogy of fallot,D,PAEDIATRICS,male,Ghana,MCQ,"A 4 year old male presented with difficulty in breathing and cyanosis with digital clubbing, the X ray below was requested,what's the likely diagnosis",D,1,Match Log: D. ,none
187,188,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/188.jpg,Which of the following viruses is implicated in this condition,Corona virus,Epstein-Barr virus,Rota virus,Cytomegalovirus,B,PAEDIATRICS,male,Ghana,MCQ,Which of the following viruses is implicated in this condition,A,0,Match Log: A. ,none
188,189,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/189.png,Regarding the picture below which of the following is a false statement?,Down syndrome is a risk factor,Obstruction to cerebral blood flow can be a basic problem,It can cause intellectual problems,Increased production of CSF can be a basic problem,A,PAEDIATRICS,male,Ghana,MCQ,Regarding the picture below which of the following is a false statement?,D,0,Match Log: D. ,none
189,190,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/190.jpg,"This baby was delivered to a mother with gestational diabetes, which of the following is not a complication",Hypoglycemia,Birth injuries,Congenital anomalies,Hypercalcemia,D,PAEDIATRICS,male,Ghana,MCQ,"This baby was delivered to a mother with gestational diabetes, which of the following is not a complication",D,1,Match Log: D. ,none
190,191,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/191.jpg,"A 4 year old male was brought to the emergency with complains of recurrent upper respiratory tract infection, a chest X ray was requested, which of the following is not likely to be a sign on examination",Tachypnoea,Tachycardia,Splenomegaly,Heart murmur,C,PAEDIATRICS,male,Ghana,MCQ,"A 4 year old male was brought to the emergency with complains of recurrent upper respiratory tract infection, a chest X ray was requested, which of the following is not likely to be a sign on examination",D,0,Match Log: D. ,none
191,192,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/192.png,Which of the following is not part of the stages of the sign shown,Increased fluctauncy of the nail bed,Increased angle between the nail and the nail bed,Increased curvature of the nail,Expansion of the terminal phalanx (drum stick appearance),B,PAEDIATRICS,male,Ghana,MCQ,Which of the following is not part of the stages of the sign shown,A,0,Match Log: A. ,none
192,193,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/193.jpg,Which of the following statement regarding this device is true.,It is a long acting ‚ adrenergic receptor agonist,Can be used easily in children below 5 years,It is recommended as a daily dose,It is used during acute exacerbations,D,PAEDIATRICS,male,Ghana,MCQ,Which of the following statement regarding this device is true.,D,1,Match Log: D. ,none
193,194,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/194.jpg,Which of the following is not a complication of the device below,Dehydration,Diarrhea,Vomiting,Bronze baby syndrome,C,PAEDIATRICS,male,Ghana,MCQ,Which of the following is not a complication of the device below,D,0,Match Log: D. ,none
194,195,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/195.png,What is this condition called,Gastroschisis,Omphalitis,Prune belly syndrome,Omphalocele,C,PAEDIATRICS,male,Ghana,MCQ,What is this condition called,D,0,Match Log: D. ,none
195,196,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/196.jpg,"This 18 hours old baby was brought to the emergency room with yellowish discolration of eyes and skin which was seen soon after birth,which of the following is not a likley cause",Rhesus incompatibility,ABO incompatibility,Pyurvate kinase deficiency,Sickle cell anemia,D,PAEDIATRICS,male,Ghana,MCQ,"This 18 hours old baby was brought to the emergency room with yellowish discolration of eyes and skin which was seen soon after birth,which of the following is not a likley cause",D,1,Match Log: D. ,none
196,197,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/197.jpg,"The picture below shows the head of a 2 days old baby with pallor, on examination child was noted to be in shock with obvious head swelling which was diffuse and boggy, what is the likely diagnosis ?",Caput succedaneum,Cephalhaematoma,Chignon,Subgaleal bleed,D,PAEDIATRICS,male,Ghana,MCQ,"The picture below shows the head of a 2 days old baby with pallor, on examination child was noted to be in shock with obvious head swelling which was diffuse and boggy, what is the likely diagnosis ?",D,1,Match Log: D. ,none
197,198,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/198.jpg,"This 7 years old female presented with early morning facial puffiness for 2 weeks, there was a prior history of sore throat which was not treated, on examination there was facial fullness, urine protein of 2+, hypertension and hematuria, whatâ€™s the likely diagnosis",Acute kidney injury,Chronic kidney injury,Nephrotic syndrome,Post streptococcal glomerulonephritis,D,PAEDIATRICS,male,Ghana,MCQ,"This 7 years old female presented with early morning facial puffiness for 2 weeks, there was a prior history of sore throat which was not treated, on examination there was facial fullness, urine protein of 2+, hypertension and hematuria, whatâ€™s the likely diagnosis",D,1,Match Log: D. ,none
198,199,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/199.jpg,"One week old baby being managed in the NICU, was noted to be febrile, irritable, had abdominal distension and vomiting, an abdominal x ray was requested ,what is the likely diagnosis",Necrotising enterocolitis,Volvulus,Milk curd syndrome,ischemic bwel syndrome,A,PAEDIATRICS,male,Ghana,MCQ,"One week old baby being managed in the NICU, was noted to be febrile, irritable, had abdominal distension and vomiting, an abdominal x ray was requested ,what is the likely diagnosis",A,1,Match Log: A. ,none
225,226,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/226.png,What is the name of the instrument pictured above,Deaver's retractor,Doyen's retractor,Morrison's retractor,Hasselbach's retractor,B,PATHOLOGY,Female,Ghana,MCQ,What is the name of the instrument pictured above,B,1,Match Log: B. ,none
226,227,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/231.png,What is it used for?,To retract the skin for easy suturing during hysterectomies,To retract the skin for easy access to the fascia for suturing,To retract the bladder peritoneum for access to the uterine incision for suturing during caesarean section,For access to the peritoneal cavity,C,PATHOLOGY,Female,Ghana,MCQ,What is it used for?,A,0,Match Log: A. ,none
227,228,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/231.png,What complication could arise from its use?,Haemorrhage,Infection,Haematuria,Surgical Site Infection,C,PATHOLOGY,Female,Ghana,MCQ,What complication could arise from its use?,C,1,Match Log: C. ,none
228,229,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/231.png,What characteristic makes it particularly useful in surgery?,Its ability to cauterize tissue,"Its narrow, curved blades for gentle tissue traction",Its ability to secure blood vessels,Its sharp cutting edge,B,PATHOLOGY,Female,Ghana,MCQ,What characteristic makes it particularly useful in surgery?,B,1,Match Log: B. ,none
229,230,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/231.png,What type of tissue does the instrument typically help to retract?,Bone,Soft tissues and organs,Nerves,Blood vessels,B,PATHOLOGY,Female,Ghana,MCQ,What type of tissue does the instrument typically help to retract?,B,1,Match Log: B. ,none
230,231,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/231.png,Identify the instrument pictured above,Green Armytage,Artery forceps,Dissecting Forceps,Alligator Forceps,A,PATHOLOGY,Female,Ghana,MCQ,Identify the instrument pictured above,B,0,Match Log: B. ,none
231,232,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/235.png,What is its primary purpose?,To cut tissues separately during sharp dissection,To suture blood vessels,To clamp arteries that bleed on contact during laparotomies,To hold the edges of the uterine incision during Caesarean Section,D,PATHOLOGY,Female,Ghana,MCQ,What is its primary purpose?,A,0,Match Log: A. ,none
232,233,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/235.png,What common complication is associated with its use?,Tissue injury from excessive retraction force,Inability to retract tissues,Uncontrolled bleeding,Bone fractures,A,PATHOLOGY,Female,Ghana,MCQ,What common complication is associated with its use?,A,1,Match Log: A. ,none
233,234,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/235.png,How many are usually used for a Caesarean Section?,2,3,4,5,B,PATHOLOGY,Female,Ghana,MCQ,How many are usually used for a Caesarean Section?,A,0,Match Log: A. ,none
234,235,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/235.png,What procedure is shown above,Suction curettage,Clinical pelvimetry,Placement of IUCD,Manual Vacuum aspiration,D,PATHOLOGY,Female,Ghana,MCQ,What procedure is shown above,D,1,Match Log: D. ,none
235,236,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/240.png,It may be indicated in the following conditions except,Threatened miscarriage,Septic Miscarriage,Blighted ovum,Incomplete miscarriage,A,PATHOLOGY,Female,Ghana,MCQ,It may be indicated in the following conditions except,B,0,Match Log: B. ,none
236,237,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/240.png,The instruments pictured above include:,"Sims Speculum, tenaculum and aspirator","Graves Speculum,tenaculum and aspirator","Couscous speculum, tenaculum and aspirator","Couscous speculum, vulsellum and aspirator",C,PATHOLOGY,Female,Ghana,MCQ,The instruments pictured above include:,A,0,Match Log: A. ,none
237,238,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/240.png,Which complication could occur and may warrant operative intervention?,Infection,Bleeding,Retained products,Uterine perforation,D,PATHOLOGY,Female,Ghana,MCQ,Which complication could occur and may warrant operative intervention?,D,1,Match Log: D. ,none
238,239,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/240.png,The following could all indicate complete emptying except,Bleeding becomes pinkish and has bubbles,Gritty feeling on suctioning,Uterus suddenly becomes smaller,Uterus seems to hug the cannula,D,PATHOLOGY,Female,Ghana,MCQ,The following could all indicate complete emptying except,A,0,Match Log: A. ,none
274,275,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/275.jpg,What is the identity of the parasite shown in the image below obtained from a wet mount specimen from mucosal scraping from a patient who works in a slaughterhouse?,Entamoeba dispar,Cryptosporidium parvum,Entamoeba histolytica,Balantidium coli,D,INFECTIOUS DISEASE,Male,Kenya,MCQ,What is the identity of the parasite shown in the image below obtained from a wet mount specimen from mucosal scraping from a patient who works in a slaughterhouse?,C,0,Match Log: C. ,none
275,276,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/276.png,A 30-year-old man experiences a burning sensation while urinating. He had recently traveled to a west African country. The image shows parasite eggs seen in his urine sample following centrifugation and microscopic examination. Which one of the following is the vector for the parasite.,Sandfly,Mosquito,Snail,Housefly,C,INFECTIOUS DISEASE,Male,Kenya,MCQ,A 30-year-old man experiences a burning sensation while urinating. He had recently traveled to a west African country. The image shows parasite eggs seen in his urine sample following centrifugation and microscopic examination. Which one of the following is the vector for the parasite.,B,0,Match Log: B. ,none
276,277,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/277.png,"A 40-year-old patient has fever, cough, and dyspnea, and a history of severe asthma that requires frequent treatment with oral prednisone. Cavitary lesions are seen in a chest radiograph of the patient. Growth of the organism on buffered charcoal yeast extract agar is slow and characterized by the formation of aerial hyphae with appearance in the image below following Gram stain. How did the patient get infected by the pathogen?",Inhalation of arthroconidia from soil,Inhalation of microconidia from soil,Person-to-person by inhalation of respiratory droplets,Inhalation of the bacterium in soil,D,INFECTIOUS DISEASE,Male,Kenya,MCQ,"A 40-year-old patient has fever, cough, and dyspnea, and a history of severe asthma that requires frequent treatment with oral prednisone. Cavitary lesions are seen in a chest radiograph of the patient. Growth of the organism on buffered charcoal yeast extract agar is slow and characterized by the formation of aerial hyphae with appearance in the image below following Gram stain. How did the patient get infected by the pathogen?",B,0,Match Log: B. ,none
277,278,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/278.png,Blood cultures from A 65-year-old man diagnosed clinically with subacute infective endocarditis did not grow any organisms until after 14 days of culture. Isolated organisms are part of normal mouth flora and had the appearance shown in the image below in Gram stain. Which one of the following group of organisms was the man infected with?,Coagulase-negative staphylococci,Coagulase-positive staphylococci,Enterococci,HACEK group,D,INFECTIOUS DISEASE,Male,Kenya,MCQ,Blood cultures from A 65-year-old man diagnosed clinically with subacute infective endocarditis did not grow any organisms until after 14 days of culture. Isolated organisms are part of normal mouth flora and had the appearance shown in the image below in Gram stain. Which one of the following group of organisms was the man infected with?,D,1,Match Log: D. ,none
278,279,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/279.png,Which one of the following diseases is of concern to a physician attending to street families in Nairobi who are infested with the bugs whose image is shown:,Cholera,Ebola,Epidemic typhus,Q fever,C,INFECTIOUS DISEASE,Male,Kenya,MCQ,Which one of the following diseases is of concern to a physician attending to street families in Nairobi who are infested with the bugs whose image is shown:,C,1,Match Log: C. ,none
279,280,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/280.png,Which of the following humoral immune evasion strategies are used by the parasite shown in the image,Cysteine proteinase production,Host antigenic mimicry,Glycoprotein switching,Lectin adhesion,C,INFECTIOUS DISEASE,Male,Kenya,MCQ,Which of the following humoral immune evasion strategies are used by the parasite shown in the image,C,1,Match Log: C. ,none
280,281,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/281.png,"A 30-year-old patient presented with malodorous vaginal discharge, and a motile microbe was detected in saline wet microscopic preparation. What is the diagnosis considering the following observation from a stained preparation?",Bacterial vaginosis,Candidiasis,Chlamydia,Trichomoniasis,D,INFECTIOUS DISEASE,Male,Kenya,MCQ,"A 30-year-old patient presented with malodorous vaginal discharge, and a motile microbe was detected in saline wet microscopic preparation. What is the diagnosis considering the following observation from a stained preparation?",D,1,Match Log: D. ,none
281,282,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/282.png,"A 7-year-old child in rural central Kenya complains of stomachache for the last 24. Hours, and had poor appetite in the last several weeks and episodes of diarrhoea. The child had vomited worms, with shown in the image. State the diagnosis",Ascariasis,Strongyloidiasis,Hemolytic uremic syndrome,Salmonella enterocolitis,A,INFECTIOUS DISEASE,Male,Kenya,MCQ,"A 7-year-old child in rural central Kenya complains of stomachache for the last 24. Hours, and had poor appetite in the last several weeks and episodes of diarrhoea. The child had vomited worms, with shown in the image. State the diagnosis",A,1,Match Log: A. ,none
282,283,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/283.png,Name the antifungal agent recommended for the treatment of the nail condition shown,Amphotericin B,Flucytosine,Terbinafine,Voriconazole,C,INFECTIOUS DISEASE,Male,Kenya,MCQ,Name the antifungal agent recommended for the treatment of the nail condition shown,C,1,Match Log: C. ,none
283,284,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/284.png,Identify the fungal species  grows  cream colored colonies in normal media at 370C and yields cellular growth in rabbit plasma as shown in the image. Identify the fungal species.,Aspergillus flavis,Candida albicans,Coccidioides immitis,Pneumocystis jiroveci,B,INFECTIOUS DISEASE,Male,Kenya,MCQ,Identify the fungal species  grows  cream colored colonies in normal media at 370C and yields cellular growth in rabbit plasma as shown in the image. Identify the fungal species.,B,1,Match Log: B. ,none
284,285,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/285.png,The organism shown was recovered from a patient suffering from enteric fever. Which one of the following is the reason behind the appearance of black colonies:,Production of hydrogen sulphide gas by the organism,Formation of sporangiophore by the pathogen,Fermentation of media due to anaerobic respiration by the organisms,Production of catalase by the organisms,A,INFECTIOUS DISEASE,Male,Kenya,MCQ,The organism shown was recovered from a patient suffering from enteric fever. Which one of the following is the reason behind the appearance of black colonies:,A,1,Match Log: A. ,none
285,286,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/286.jpg,The British tourist to Kenya was admitted in Aga Khan university hospital in Nairobi complaining of abdominal pains and frequent diarrhoea. Culture of a rectal swab revealed the colonies shown in the media. What is the most probable aetiological agent,Salmonella typhi,Enterotoxigenic E. coli (ETE,C) Vibrio cholerae,Shigella flexneri,B,INFECTIOUS DISEASE,Male,Kenya,MCQ,The British tourist to Kenya was admitted in Aga Khan university hospital in Nairobi complaining of abdominal pains and frequent diarrhoea. Culture of a rectal swab revealed the colonies shown in the media. What is the most probable aetiological agent,D,0,Match Log: D. ,none
286,287,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/287.jpg,Identify the parasite shown,Ascaris lumbricoides,Echinococcus granulosum,Taenia solium,Toxocara canis,C,INFECTIOUS DISEASE,Male,Kenya,MCQ,Identify the parasite shown,B,0,Match Log: B. ,none
287,288,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/288.png,"The image shows massive scrotal lymphedema in a 25 year old farmer at the Kenyan coast, also known to be endemic for Culex and Anapheles mosquitoes. What is the most probable aetiology for the lesion shown:",Schistosoma hematobium,Wuchereria bancrofti,Onchocerca volvulus,Ancylostoma duodenale,B,INFECTIOUS DISEASE,Male,Kenya,MCQ,"The image shows massive scrotal lymphedema in a 25 year old farmer at the Kenyan coast, also known to be endemic for Culex and Anapheles mosquitoes. What is the most probable aetiology for the lesion shown:",B,1,Match Log: B. ,none
288,289,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/289.jpg,The image shows ova observed in a stool specimen from a school children in western Kenya. What drug is used to treat this infection?,Albendazole,Metronidazole,praziquantel, Quinin,C,INFECTIOUS DISEASE,Male,Kenya,MCQ,The image shows ova observed in a stool specimen from a school children in western Kenya. What drug is used to treat this infection?,A,0,Match Log: A. ,none
294,295,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/295.jpg,What is the name of the test depicted above?,Semen parameters,Fertility assessment,Semen Analysis,Male performance test,C,MCQS-AFIMED,Male,Ghana,MCQ,What is the name of the test depicted above?,C,1,Match Log: C. ,none
295,296,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/300.png,What is the best way of obtaining a sample for this test to be carried out?,Masturbation,Coitus Interreptus,Aspiration from the urinary bladder,Aspiration from the testes,D,MCQS-AFIMED,Male,Ghana,MCQ,What is the best way of obtaining a sample for this test to be carried out?,A,0,Match Log: A. ,none
296,297,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/300.png,What would be the diagnosis if the concentration was low?,Asthenospermia,Oligospermia,Azoospermia,Teratospermia,B,MCQS-AFIMED,Male,Ghana,MCQ,What would be the diagnosis if the concentration was low?,B,1,Match Log: B. ,none
297,298,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/300.png,What would be the diagnosis if the abnormal forms were high in concentration?,Asthenospermia,Oligospermia,Azoospermia,Teratospermia,D,MCQS-AFIMED,Male,Ghana,MCQ,What would be the diagnosis if the abnormal forms were high in concentration?,D,1,Match Log: D. ,none
298,299,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/300.png,What would be the diagnosis if the motility was low?,Asthenospermia,Oligospermia,Azoospermia,Teratospermia,A,MCQS-AFIMED,Male,Ghana,MCQ,What would be the diagnosis if the motility was low?,B,0,Match Log: B. ,none
299,300,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/300.png,What would be the diagnosis if the concentration was zero?,Asthenospermia,Oligospermia,Azoospermia,Teratospermia,C,MCQS-AFIMED,Male,Ghana,MCQ,What would be the diagnosis if the concentration was zero?,C,1,Match Log: C. ,none
