sample_id	image_path	question	A	B	C	D	answer	specialty	gender	country	question_type
225	images/226.png	Briefly outline the management of a 26-year old nulliparous woman whose fetus is diagnosed with this condition at 16 weeks gestation if after appropriate counselling she accepts to have the pregnancy terminated.					1. Admit 2. Secure i.v. access  3. Obtain samples for  a. FBC  b. Sickling  c. Blood grouping & rhesus typing  d. Crossmatch for blood 4. Termination of pregnancy  5. Pain relief using opoids [i.m. pethidine 50 – 100mg 6hrly]  a. Post expulsion  b. Counsel and provide emotional support  c. Oral antibiotics  d. Amoxiclav 1g 12hrly x 5 -7 days  e. Metronidazole 400mg 8 - 12hrly x 5 – 7 days  f. Analgesia  g. Suppository diclofenac 100mg bd x 5  h. Oral paracetamol 1g tds x 5  i. Oral folic acid 5mg dly	PATHOLOGY	Female	Ghana	LAQ
226	images/226.png	What is the name of the instrument pictured above	Deaver's retractor	Doyen's retractor	Morrison's retractor	Hasselbach's retractor	B	PATHOLOGY	Female	Ghana	MCQ
227	images/231.png	What is it used for?	To retract the skin for easy suturing during hysterectomies	To retract the skin for easy access to the fascia for suturing	To retract the bladder peritoneum for access to the uterine incision for suturing during caesarean section	For access to the peritoneal cavity	C	PATHOLOGY	Female	Ghana	MCQ
228	images/231.png	What complication could arise from its use?	Haemorrhage	Infection	Haematuria	Surgical Site Infection	C	PATHOLOGY	Female	Ghana	MCQ
229	images/231.png	What characteristic makes it particularly useful in surgery?	Its ability to cauterize tissue	Its narrow, curved blades for gentle tissue traction	Its ability to secure blood vessels	Its sharp cutting edge	B	PATHOLOGY	Female	Ghana	MCQ
230	images/231.png	What type of tissue does the instrument typically help to retract?	Bone	Soft tissues and organs	Nerves	Blood vessels	B	PATHOLOGY	Female	Ghana	MCQ
231	images/231.png	Identify the instrument pictured above	Green Armytage	Artery forceps	Dissecting Forceps	Alligator Forceps	A	PATHOLOGY	Female	Ghana	MCQ
232	images/235.png	What is its primary purpose?	To cut tissues separately during sharp dissection	To suture blood vessels	To clamp arteries that bleed on contact during laparotomies	To hold the edges of the uterine incision during Caesarean Section	D	PATHOLOGY	Female	Ghana	MCQ
233	images/235.png	What common complication is associated with its use?	Tissue injury from excessive retraction force	Inability to retract tissues	Uncontrolled bleeding	Bone fractures	A	PATHOLOGY	Female	Ghana	MCQ
234	images/235.png	How many are usually used for a Caesarean Section?	2	3	4	5	B	PATHOLOGY	Female	Ghana	MCQ
235	images/235.png	What procedure is shown above	Suction curettage	Clinical pelvimetry	Placement of IUCD	Manual Vacuum aspiration	D	PATHOLOGY	Female	Ghana	MCQ
236	images/240.png	It may be indicated in the following conditions except	Threatened miscarriage	Septic Miscarriage	Blighted ovum	Incomplete miscarriage	A	PATHOLOGY	Female	Ghana	MCQ
237	images/240.png	The instruments pictured above include:	Sims Speculum, tenaculum and aspirator	Graves Speculum,tenaculum and aspirator	Couscous speculum, tenaculum and aspirator	Couscous speculum, vulsellum and aspirator	C	PATHOLOGY	Female	Ghana	MCQ
238	images/240.png	Which complication could occur and may warrant operative intervention?	Infection	Bleeding	Retained products	Uterine perforation	D	PATHOLOGY	Female	Ghana	MCQ
239	images/240.png	The following could all indicate complete emptying except	Bleeding becomes pinkish and has bubbles	Gritty feeling on suctioning	Uterus suddenly becomes smaller	Uterus seems to hug the cannula	D	PATHOLOGY	Female	Ghana	MCQ
240	images/240.png	A 27 yr old Nulligravid woman requests evaluation because of two strange spots on her vulva pictured below. Her sexual partner has noted similar spot on the glans of her penis. What is the likely diagnosis          Answer:       Primary Syphilis					Primary Syphilis	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
241	images/245.png	A 27 yr old Nulligravid woman requests evaluation because of two strange spots on her vulva pictured below. Her sexual partner has noted similar spot on the glans of her penis. What is the most appropriate diagnostic tests for this patient           Answer:      Dark field microscopy of scrapping from lesion					Dark field microscopy of scrapping from lesion	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
242	images/245.png	A 27 yr old Nulligravid woman requests evaluation because of two strange spots on her vulva pictured below. Her sexual partner has noted similar spot on the glans of her penis. What is the appropriate treatment for this patient         Answer:     2.4 mil units  of IM Benzathine Penicillin					2.4 mil units of IM Benzathine Penicillin	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
243	images/245.png	A 27 yr old Nulligravid woman requests evaluation because of two strange spots on her vulva pictured below. Her sexual partner has noted similar spot on the glans of her penis. What other tests should be done on this patient?         Answer:   Test for other STDS especially HIV					Test for other STDS especially HIV	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
244	images/245.png	A 27 yr old Nulligravid woman requests evaluation because of two strange spots on her vulva pictured below. Her sexual partner has noted similar spot on the glans of her penis. What is the most effective way of preventing syphilis?          Answer: Barrier methods- correct and consistent use of condoms					Barrier methods- correct and consistent use of condoms	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
245	images/245.png	A 26 yr old woman para 0+1 gravida 2 at 5 weeks gestation requests evaluation because of acute left lower quadrant pain and vaginal spotting.  What further questions would you ask in the history to aid in making a diagnosis.       Answer:     1) When did your last menstrual period start? 2) Have you had any previous ectopic pregnancies? 3) Have you had any pelvic infections (like PID or STIs)? 4) Are you experiencing shoulder tip pain or dizziness? 5) Have you had any fertility treatments or used IUDs?					1. When did your last menstrual period start? 2. Have you had any previous ectopic pregnancies? 3. Have you had any pelvic infections (like PID or STIs)? 4. Are you experiencing shoulder tip pain or dizziness? 5. Have you had any fertility treatments or used IUDs?	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
246	images/252.png	A 26 yr old woman para 0+1 gravida 2 at 5 weeks gestation requests evaluation because of acute left lower quadrant pain and vaginal spotting.  What is the likely diagnosis.          Answer:  Ruptured Tubal Ectopic pregnancy					Ruptured Tubal Ectopic pregnancy	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
247	images/252.png	A 26 yr old woman para 0+1 gravida 2 at 5 weeks gestation requests evaluation because of acute left lower quadrant pain and vaginal spotting.  What are your differentials?        Answer:      Threatened abortion Ruptured ovarian cyst Ovarian Torsion Pelvic inflammatory disease Endometriosis Appendicitis UTI Nephrolithiasis					Threatened abortion Ruptured ovarian cyst Ovarian Torsion Pelvic inflammatory disease Endometriosis Appendicitis UTI Nephrolithiasis 	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
248	images/252.png	A 26 yr old woman para 0+1 gravida 2 at 5 weeks gestation requests evaluation because of acute left lower quadrant pain and vaginal spotting. What are the risk factors of Ectopic Pregnancy?           Answer:       Previous ectopic pregnancy, Chlamydial infection/ STDs Pelvic inflammatory disease Previous tubal surgery Congenital tubal anomalies Assisted reproductive technology Contraceptive  use  Previous abdominal/ pelvic surgery Smoking  Age >35					Previous ectopic pregnancy, Chlamydial infection/ STDs Pelvic inflammatory disease Previous tubal surgery Congenital tubal anomalies Assisted reproductive technology Contraceptive  use  Previous abdominal/ pelvic surgery Smoking  Age >35  	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
249	images/252.png	A 26 yr old woman para 0+1 gravida 2 at 5 weeks gestation requests evaluation because of acute left lower quadrant pain and vaginal spotting. What are the physical sings that suggest the diagnosis of a ruptured ectopic pregnancy          Answer:    Pallor, anxiety, distress  Vitals- Hypotension, tachycardia Guarding ,Rebound tenderness,  Dullness in flanks					Pallor, anxiety, distress  Vitals- Hypotension, tachycardia Guarding ,Rebound tenderness,  Dullness in flanks 	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
250	images/252.png	A 26 yr old woman para 0+1 gravida 2 at 5 weeks gestation requests evaluation because of acute left lower quadrant pain and vaginal spotting. What is the most appropriate Treatment for the patient mentioned above.					Laparascopic Salphingectomy	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
251	images/252.png	A 26 yr old woman para 0+1 gravida 2 at 5 weeks gestation requests evaluation because of acute left lower quadrant pain and vaginal spotting.  What are the possible complications of this procedure (2 marks)            Answer:  Surgical site infection Thromboelmbolic events  Allergic reaction to anaesthesia  Conversion to open surgery Organ injury Nerve injury					Surgical site infection Thromboelmbolic events  Allergic reaction to anaesthesia  Conversion to open surgery Organ injury Nerve injury	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
252	images/252.png	A 25 yr old woman, Para 1+0 G 2, presented to the ER for evaluation of nausea, vomiting, palpitations and vaginal bleeding. LMP was 9 weeks ago. Pelvic examination showed a 14 week sized uterus and bilateral adnexal masses. Urine pregnancy test was positive, the quantitative B-HCG was 140,965 mu/ml. A TVS showed the image below What is the diagnosis?      Answer:     Complete Molar Pregnancy, no presence of a fetus in the ultrasound					Complete Molar Pregnancy, no presence of a fetus in the ultrasound	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
253	images/259.png	A 25 yr old woman, Para 1+0 G 2, presented to the ER for evaluation of nausea, vomiting, palpitations and vaginal bleeding. LMP was 9 weeks ago. Pelvic examination showed a 14 week sized uterus and bilateral adnexal masses. Urine pregnancy test was positive, the quantitative B-HCG was 140,965 mu/ml. A TVS showed the image below What is the karyotype of such gestation          Answer:  46 XX or 46 XY					46 XX or 46 XY	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
254	images/259.png	A 25 yr old woman, Para 1+0 G 2, presented to the ER for evaluation of nausea, vomiting, palpitations and vaginal bleeding. LMP was 9 weeks ago. Pelvic examination showed a 14 week sized uterus and bilateral adnexal masses. Urine pregnancy test was positive, the quantitative B-HCG was 140,965 mu/ml. A TVS showed the image below What is the typical sign seen on ultrasound above?          Answer:     Snow storm appearance, Grapes appearance with no fetus					Snow storm appearance, Grapes appearance with no fetus	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
255	images/259.png	A 25 yr old woman, Para 1+0 G 2, presented to the ER for evaluation of nausea, vomiting, palpitations and vaginal bleeding. LMP was 9 weeks ago. Pelvic examination showed a 14 week sized uterus and bilateral adnexal masses. Urine pregnancy test was positive, the quantitative B-HCG was 140,965 mu/ml. A TVS showed the image below What are the risk factors for Molar pregnancy         Answer:   Age <15yrs >40yrs Prior hx of H. Mole Prior Spontaneous Abortion Vitamin A deficiency Combined oral contraceptive use					Age <15yrs >40yrs Prior hx of H. Mole Prior Spontaneous Abortion Vitamin A deficiency Combined oral contraceptive use	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
256	images/259.png	A 25 yr old woman, Para 1+0 G 2, presented to the ER for evaluation of nausea, vomiting, palpitations and vaginal bleeding. LMP was 9 weeks ago. Pelvic examination showed a 14 week sized uterus and bilateral adnexal masses. Urine pregnancy test was positive, the quantitative B-HCG was 140,965 mu/ml. A TVS showed the image below What are the signs and symptoms of a partial Hydatidiform mole?        Answer:      Vaginal bleeding Absence of fetal heart tones Hyperemesis Gravidarum Uterine Size Larger than gestational age Preeclampsia Theca leutein ovarian cysts					Vaginal bleeding Absence of fetal heart tones Hyperemesis Gravidarum Uterine Size Larger than gestational age Preeclampsia Theca leutein ovarian cysts 	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
257	images/259.png	A 25 yr old woman, Para 1+0 G 2, presented to the ER for evaluation of nausea, vomiting, palpitations and vaginal bleeding. LMP was 9 weeks ago. Pelvic examination showed a 14 week sized uterus and bilateral adnexal masses. Urine pregnancy test was positive, the quantitative B-HCG was 140,965 mu/ml. A TVS showed the image below What are the differential diagnosis          Answer:    Abortion Multiple Pregnancy Polyhydramnios					Abortion Multiple Pregnancy Polyhydramnios	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
258	images/259.png	A 25 yr old woman, Para 1+0 G 2, presented to the ER for evaluation of nausea, vomiting, palpitations and vaginal bleeding. LMP was 9 weeks ago. Pelvic examination showed a 14 week sized uterus and bilateral adnexal masses. Urine pregnancy test was positive, the quantitative B-HCG was 140,965 mu/ml. A TVS showed the image below What is the definitive managementWhat is the definitive management       Answer:     Suction curratage					Suction curratage	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
259	images/259.png	A 32 year old woman presents to the GOPC with complaints of irregular bleeding throughout the month for 6 months. She undergoes surgery and the specimen pictured below is removed and taken to pathology. What was her Pre-operative Diagnosis   Answer:     Uterine Fibroids					Uterine Fibroids	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
260	images/264.jpg	A 32 year old woman presents to the GOPC with complaints of irregular bleeding throughout the month for 6 months. She undergoes surgery and the specimen pictured below is removed and taken to pathology. What procedure was done            Answer:     Myomectom					Myomectom	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
261	images/264.jpg	A 32 year old woman presents to the GOPC with complaints of irregular bleeding throughout the month for 6 months. She undergoes surgery and the specimen pictured below is removed and taken to pathology. What are the symptoms caused by the above in					Abnormal uterine bleeding Reproductive failure Subfertility Recurrent pregnancy loss Bulk effects on adjacent structures Pressure and pain Bladder and bowel dysfunction  Abdominal distension	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
262	images/264.jpg	A 32 year old woman presents to the GOPC with complaints of irregular bleeding throughout the month for 6 months. She undergoes surgery and the specimen pictured below is removed and taken to pathology. What are the examination findings you would elicit in this patient prior to surgery                    Answer:      General examination- Anaemia- pallor Abdominal Examination- visible and or palpable mass arising from the pelvis Bimanual Exam- Enlarged, firm, smooth or irregular non- tender uterus palpable					General examination- Anaemia- pallor Abdominal Examination- visible and or palpable mass arising from the pelvis Bimanual Exam- Enlarged, firm, smooth or irregular non- tender uterus palpable 	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
263	images/264.jpg	A 32 year old woman presents to the GOPC with complaints of irregular bleeding throughout the month for 6 months. She undergoes surgery and the specimen pictured below is removed and taken to pathology. What are the useful tests that can aid in coming up with the above diagnosis               Answer:        Transvaginal ultrasound scans  Transabdominal ultrasound scans  Saline infusion scans  Hysteroscopy MRI					Transvaginal ultrasound scans  Transabdominal ultrasound scans  Saline infusion scans  Hysteroscopy MRI	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
264	images/264.jpg	A 32 year old woman presents to the GOPC with complaints of irregular bleeding throughout the month for 6 months. She undergoes surgery and the specimen pictured below is removed and taken to pathology. Elaborate the other available modes of treatment for the above condition              Answer:       Medical management- LNG IUS (MIREN					Medical management- LNG IUS (MIRENA), Tranexamic acid, Mefenamic acid, COCP GnRH agonist Ulipristal Acetate Surgical management- Hysteroscopy, Myomectomy- open/Laparascopic, Hysterectomy Radiology- Uterine Artery Embbolization,  HIFU- High intensity Focused Ultrasonography	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
265	images/265.jpg	A couple comes for evaluation in the GOPC with complaints of failure to conceive 12 months in their marriage. As a gynecologist, you request the test illustrated below.  Define Subfertility                Answer:    Failure to conceive after 12 months of regular unprotected sexual intercourse.					Failure to conceive after 12 months of regular unprotected sexual intercourse.	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	SAQ
266	images/271.jpg	What questions to the female will be asked during history taking           Answer:    Age Length of time spent trying for pregnancy Any previous pregnancies Coital Frequency Occupation General Gyn hx Previous hx of PID Medical and surgical hx Previous fertility treatment Cervical smear hx Hx of thyroid disorders					Age Length of time spent trying for pregnancy Any previous pregnancies Coital Frequency Occupation General Gyn hx Previous hx of PID Medical and surgical hx Previous fertility treatment Cervical smear hx Hx of thyroid disorders	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
267	images/271.jpg	What questions to the male will be asked during history taking                      Answer:     Age Length of time trying for pregnancy Fathered any previous pregnancies Hx of mumps or measles Hx of testicular trauma or surgery to the testis Occupation Medical and surgical hx					 Age Length of time trying for pregnancy Fathered any previous pregnancies Hx of mumps or measles Hx of testicular trauma or surgery to the testis Occupation Medical and surgical hx	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
268	images/271.jpg	What dietary preconception advice would you give the patients              Answer:  Folic acid 400¼g up until 12 weeks gestation and Vitamin D 10¼g throughout pregnancy If there is a history of NTD or use of anti epileptic drugs Folic acid  5mg					Folic acid 400μg up until 12 weeks gestation and Vitamin D 10μg throughout pregnancy If there is a history of NTD or use of anti epileptic drugs Folic acid – 5mg	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
269	images/271.jpg	What are the causes of Female subfertility                         Answer:    Ovulatory disorder Tubal Disorders Endometriosis Uterine disorders					Ovulatory disorder Tubal Disorders Endometriosis Uterine disorders	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
270	images/271.jpg	Identify the test illustrated in the image above and list others used in evaluation of a female patient                      Answer:   Hysterosalphingogram Hysterocontrast sonography Laparascopy Hysteroscopy					Hysterosalphingogram Hysterocontrast sonography Laparascopy Hysteroscopy	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
271	images/271.jpg	Describe FIVE characteristics of a Pelvic Mass                    Answer:     1)  Location-1, Shape-1, Size-1, Number-1,  2) Mobile or Fixed-1,  3) Smooth or Nodular-1, 4) Firm/Soft-1,  Solid/Cystic-1 5) Cannot go under/below it-1 6) Cervix moves away from exam finger when mass pushed cephalad-1.					1. Location-1, Shape-1, Size-1, Number-1,  2. Mobile or Fixed-1,  3. Smooth or Nodular-1, 4. Firm/Soft-1,  Solid/Cystic-1 5. Cannot go under/below it-1 6. Cervix moves away from exam finger when mass pushed cephalad-1.   	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
272	images/275.jpg	Give TWO characteristics that distinguish a uterine mass from an ovarian mass.        Answer:    1) Sulcus between Ovarian and Uterine mass-3 2) Uterine mass moves cephalad while and ovarian mass does not-3.					1. Sulcus between Ovarian and Uterine mass-3  2. Uterine mass moves cephalad while and ovarian mass does not-3.	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
273	images/275.jpg	What SIX investigations would you do and why especially if you were to prepare this patient for surgery?             Answer:   1)  FBC-h/o bleeding, prep for surgery 2) U/E-obstructive uropathy, surgery prep 3) Urinalysis-UTI due to urinary stasis 4) Urine/Serum HCG to R/O pregnancy 5) Pap smear-R/O Ca Cervix  6) Pelvic Scan-position, origin, number, characteristics. 7) Ca 125-to rule out ovarian malignancy 8) MRI-Identify malignancies and metastasis					1. FBC-h/o bleeding, prep for surgery  2. U/E-obstructive uropathy, surgery prep  3. Urinalysis-UTI due to urinary stasis  4. Urine/Serum βHCG—to R/O pregnancy  5. Pap smear-R/O Ca Cervix   6. Pelvic Scan-position, origin, number, characteristics.  7. Ca 125-to rule out ovarian malignancy  8. MRI-Identify malignancies and metastasis	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
274	images/275.jpg	Give FOUR differential diagnosis of a pelvic mass                      Answer:      1) Uterine myoma 2) Ovarian tumors 3) Pregnancy 4) Follicular ror Corpus luteal cysts 5) Impacted Stool   6) Endometriomas					1. Uterine myoma  2. Ovarian tumors  3. Pregnancy  4. Follicular ror Corpus luteal cysts  5. Impacted Stool   6. Endometriomas	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	LAQ
275	images/275.jpg	What is the identity of the parasite shown in the image below obtained from a wet mount specimen from mucosal scraping from a patient who works in a slaughterhouse?	Entamoeba dispar	Cryptosporidium parvum	Entamoeba histolytica	Balantidium coli	D	INFECTIOUS DISEASE	Male	Kenya	MCQ
276	images/276.png	A 30-year-old man experiences a burning sensation while urinating. He had recently traveled to a west African country. The image shows parasite eggs seen in his urine sample following centrifugation and microscopic examination. Which one of the following is the vector for the parasite.	Sandfly	Mosquito	Snail	Housefly	C	INFECTIOUS DISEASE	Male	Kenya	MCQ
277	images/277.png	A 40-year-old patient has fever, cough, and dyspnea, and a history of severe asthma that requires frequent treatment with oral prednisone. Cavitary lesions are seen in a chest radiograph of the patient. Growth of the organism on buffered charcoal yeast extract agar is slow and characterized by the formation of aerial hyphae with appearance in the image below following Gram stain. How did the patient get infected by the pathogen?	Inhalation of arthroconidia from soil	Inhalation of microconidia from soil	Person-to-person by inhalation of respiratory droplets	Inhalation of the bacterium in soil	D	INFECTIOUS DISEASE	Male	Kenya	MCQ
278	images/278.png	Blood cultures from A 65-year-old man diagnosed clinically with subacute infective endocarditis did not grow any organisms until after 14 days of culture. Isolated organisms are part of normal mouth flora and had the appearance shown in the image below in Gram stain. Which one of the following group of organisms was the man infected with?	Coagulase-negative staphylococci	Coagulase-positive staphylococci	Enterococci	HACEK group	D	INFECTIOUS DISEASE	Male	Kenya	MCQ
279	images/279.png	Which one of the following diseases is of concern to a physician attending to street families in Nairobi who are infested with the bugs whose image is shown:	Cholera	Ebola	Epidemic typhus	Q fever	C	INFECTIOUS DISEASE	Male	Kenya	MCQ
280	images/280.png	Which of the following humoral immune evasion strategies are used by the parasite shown in the image	Cysteine proteinase production	Host antigenic mimicry	Glycoprotein switching	Lectin adhesion	C	INFECTIOUS DISEASE	Male	Kenya	MCQ
281	images/281.png	A 30-year-old patient presented with malodorous vaginal discharge, and a motile microbe was detected in saline wet microscopic preparation. What is the diagnosis considering the following observation from a stained preparation?	Bacterial vaginosis	Candidiasis	Chlamydia	Trichomoniasis	D	INFECTIOUS DISEASE	Male	Kenya	MCQ
282	images/282.png	A 7-year-old child in rural central Kenya complains of stomachache for the last 24. Hours, and had poor appetite in the last several weeks and episodes of diarrhoea. The child had vomited worms, with shown in the image. State the diagnosis	Ascariasis	Strongyloidiasis	Hemolytic uremic syndrome	Salmonella enterocolitis	A	INFECTIOUS DISEASE	Male	Kenya	MCQ
283	images/283.png	Name the antifungal agent recommended for the treatment of the nail condition shown	Amphotericin B	Flucytosine	Terbinafine	Voriconazole	C	INFECTIOUS DISEASE	Male	Kenya	MCQ
284	images/284.png	Identify the fungal species  grows  cream colored colonies in normal media at 370C and yields cellular growth in rabbit plasma as shown in the image. Identify the fungal species.	Aspergillus flavis	Candida albicans	Coccidioides immitis	Pneumocystis jiroveci	B	INFECTIOUS DISEASE	Male	Kenya	MCQ
285	images/285.png	The organism shown was recovered from a patient suffering from enteric fever. Which one of the following is the reason behind the appearance of black colonies:	Production of hydrogen sulphide gas by the organism	Formation of sporangiophore by the pathogen	Fermentation of media due to anaerobic respiration by the organisms	Production of catalase by the organisms	A	INFECTIOUS DISEASE	Male	Kenya	MCQ
286	images/286.jpg	The British tourist to Kenya was admitted in Aga Khan university hospital in Nairobi complaining of abdominal pains and frequent diarrhoea. Culture of a rectal swab revealed the colonies shown in the media. What is the most probable aetiological agent	Salmonella typhi	Enterotoxigenic E. coli (ETE	C) Vibrio cholerae	Shigella flexneri	B	INFECTIOUS DISEASE	Male	Kenya	MCQ
287	images/287.jpg	Identify the parasite shown	Ascaris lumbricoides	Echinococcus granulosum	Taenia solium	Toxocara canis	C	INFECTIOUS DISEASE	Male	Kenya	MCQ
288	images/288.png	The image shows massive scrotal lymphedema in a 25 year old farmer at the Kenyan coast, also known to be endemic for Culex and Anapheles mosquitoes. What is the most probable aetiology for the lesion shown:	Schistosoma hematobium	Wuchereria bancrofti	Onchocerca volvulus	Ancylostoma duodenale	B	INFECTIOUS DISEASE	Male	Kenya	MCQ
289	images/289.jpg	The image shows ova observed in a stool specimen from a school children in western Kenya. What drug is used to treat this infection?	Albendazole	Metronidazole	praziquantel	 Quinin	C	INFECTIOUS DISEASE	Male	Kenya	MCQ
290	images/290.png	Identify the type of test shown.                 Answer:     Catalase test					Catalase test	INFECTIOUS DISEASE	Male	Kenya	MCQ
291	images/291.png	The organism shown on the slide was isolated from a carbuncle of an inpatient. Identify the most probable organism      Answer:   Staphylococcus aureus					Staphylococcus aureus	INFECTIOUS DISEASE	Male	Kenya	MCQ
292	images/292.jpg	The infection demonstrated in the picture was recovered from a non-immunized 3-year-old boy who complained of sore throat and had fever and headaches. Identify the infecting organism                            Answer:    Corynebacterium diptheriae					Corynebacterium diptheriae	INFECTIOUS DISEASE	Male	Kenya	MCQ
293	images/293.jpg	Identify the infection shown:                         Answer:  Tinea capitis					Tinea capitis	INFECTIOUS DISEASE	Male	Kenya	MCQ
294	images/294.png	Name any two organisms that show the results on the slide                     Answer:     Mycobacteria Nocardia Actinomyctes					Mycobacteria Nocardia Actinomyctes	INFECTIOUS DISEASE	Male	Ghana	MCQ
295	images/295.jpg	What is the name of the test depicted above?	Semen parameters	Fertility assessment	Semen Analysis	Male performance test	C	MCQS-AFIMED	Male	Ghana	MCQ
296	images/300.png	What is the best way of obtaining a sample for this test to be carried out?	Masturbation	Coitus Interreptus	Aspiration from the urinary bladder	Aspiration from the testes	D	MCQS-AFIMED	Male	Ghana	MCQ
297	images/300.png	What would be the diagnosis if the concentration was low?	Asthenospermia	Oligospermia	Azoospermia	Teratospermia	B	MCQS-AFIMED	Male	Ghana	MCQ
298	images/300.png	What would be the diagnosis if the abnormal forms were high in concentration?	Asthenospermia	Oligospermia	Azoospermia	Teratospermia	D	MCQS-AFIMED	Male	Ghana	MCQ
299	images/300.png	What would be the diagnosis if the motility was low?	Asthenospermia	Oligospermia	Azoospermia	Teratospermia	A	MCQS-AFIMED	Male	Ghana	MCQ
300	images/300.png	What would be the diagnosis if the concentration was zero?	Asthenospermia	Oligospermia	Azoospermia	Teratospermia	C	MCQS-AFIMED	Male	Ghana	MCQ
